short_link,valid_link
http://instagr.am/p/PenW3TSv9M/,https://www.instagram.com/p/PenW3TSv9M/
http://www.publicpolicypolling.com/main/2012/09/obama-leads-by-5-in-ohio.html,https://www.publicpolicypolling.com/polls/obama-leads-by-5-in-ohio/
http://news.yahoo.com/blogs/ticket/florida-pizza-shop-owner-powerlifts-obama-195921467--election.html,https://news.yahoo.com/blogs/ticket/florida-pizza-shop-owner-powerlifts-obama-195921467--election.html
http://bit.ly/NWmeAh,https://www.youtube.com/watch?v=evtInoMaeew
http://www.nostradamus.org/f/index.php?topic=253.0,http://www.nostradamus.org/f/index.php?topic=253.0
http://politicalticker.blogs.cnn.com/2012/09/10/cnn-poll-obama-up-six-points-over-romney/,https://www.cnn.com/politics
http://bit.ly/OmhbZN,https://www.wired.com/2012/09/bush-obama-war-on-terror/
http://bbc.in/P8coZ8,https://www.bbc.co.uk/news/world-africa-19540325
http://bit.ly/O9SH0d,https://mashable.com/2012/09/10/romney-obama-text/?utm_source=twitterfeed&utm_medium=twitter&utm_campaign=Feed%3A+Mashable+%28Mashable%29
http://bit.ly/PWunR7,https://globalgrind.com/1886943/barack-obama-responds-nicki-minajs-mitt-romney-rap-details/
http://youtu.be/fKl-TRA_aFw,https://www.youtube.com/watch?v=fKl-TRA_aFw&feature=youtu.be
http://www.regretsy.com/2012/09/10/barack-obama-is-tired-of-your-shit/,http://www.aprilwinchell.com/
http://migre.me/aE3D7,http://migre.me/aE3D7
http://www.buzzfeed.com/zekejmiller/romney-campaign-appears-to-copy-text-from-obama-we,https://www.buzzfeed.com/zekejmiller/romney-campaign-appears-to-copy-text-from-obama-we
http://POLITICO.com,https://www.politico.com:443/
http://nyti.ms/QxoFHD,https://thecaucus.blogs.nytimes.com/2012/09/09/obama-gets-a-lift-on-the-trail/?smid=tw-share
http://yfrog.com/5e616lj,https://imageshack.com/
http://tinyurl.com/9sdozo5,https://www.rap-up.com/2012/09/10/president-obama-addresses-nicki-minajs-romney-rap/
http://bit.ly/P9ug3S,https://internasional.kompas.com/read/2012/09/10/11392060/Polisi.Pengawal.Obama.Tewas.Tertabrak.Truk?utm_source=twitterfeed&utm_medium=twitter
http://bbc.in/TGlZsv,https://www.bbc.co.uk/news/world-africa-19540325
http://go.usa.gov/rwdW,https://obamawhitehouse.archives.gov/the-press-office/2012/09/10/presidential-proclamation-patriot-day-and-national-day-service-and-remem
http://www.wired.com/threatlevel/2012/09/bush-obama-war-on-terror/,https://www.wired.com/2012/09/bush-obama-war-on-terror/
http://migre.me/aDQLd,http://migre.me/aDQLd
http://bit.ly/P3kth8,https://internasional.kompas.com/read/2012/09/10/11004216/Datangi.Restoran..Pendukung.Gendong.Obama?utm_source=twitterfeed&utm_medium=twitter
http://eonli.ne/P8nfC4,https://www.eonline.com/news/344592/president-obama-talks-nicki-minaj-s-mitt-romney-rap-she-likes-to-play-characters
http://gu.com/p/3aadx/tw,https://www.theguardian.com/commentisfree/2012/sep/09/america-refusal-extradite-bolivia?CMP=twt_gu
http://www.theblaze.com/stories/limbaugh-predicts-total-economic-collapse-in-u-s-if-president-obama-re-elected/,https://www.theblaze.com/tag/limbaugh-predicts-total-economic-collapse-in-u-s-if-president-obama-re-elected
http://go.usa.gov/W3H,https://www.nhc.noaa.gov/cyclones/
http://usa-only.com,http://usa-only.com
http://bit.ly/Tzq2Zm,https://www.antaranews.com/
http://bit.ly/xMIFvn,https://3chicspolitico.com/president-obamas-accomplishments/
http://yfrog.com/nw18929157j,https://imageshack.com/
http://bit.ly/Ryg8X2,http://www.cnn.com/2012/09/10/politics/campaign-wrap/index.html?utm_source=twitterfeed&utm_medium=twitter&utm_campaign=Feed%3A+rss%2Fcnn_topstories+%28RSS%3A+CNN+-+Top+Stories%29
http://bit.ly/QAxbSO,https://edition.cnn.com/2012/09/10/world/africa/somalia-new-president/index.html
http://bbc.in/QF040c,https://www.bbc.co.uk/news/world-asia-china-19551727
http://www.deadline.com/2012/09/anti-obama-pic-2-political-documentary-now-bigger-than-3-michael-moore-movies/,https://deadline.com/2012/09/anti-obama-pic-2-political-documentary-now-bigger-than-3-michael-moore-movies-332516/
http://ireport.cnn.com/docs/DOC-839017,https://www.cnn.com/
http://www.theblaze.com/stories/obama-skipping-staggering-amount-of-daily-intelligence-meetings/,https://www.theblaze.com/tag/obama-skipping-staggering-amount-of-daily-intelligence-meetings
http://youtu.be/vEw8zjlRGec?a,https://www.youtube.com/watch?v=vEw8zjlRGec&feature=youtu.be&a
